source,source_id,original_key,building_name,normalized_name,address,district,grade,year_built,building_key,matches_json,midland_id,centanet_id,midland_original_key,centanet_original_key
leasinghub,3211,3211,1 Chatham Road South,1 chatham road south,1-3 Chatham Road South,Yau Tsim Mong District,B,1999.0,LH_3211,{},,,,
leasinghub,842,842,1 Des Voeux Road West,1 des voeux road west,1 Des Voeux Road West,Central and Western District,B,1997.0,LH_842,{},,,,
leasinghub,1967,1967,1 Duddell Street,1 duddell street,1 Duddell Street,Central and Western District,B+,1983.0,LH_1967,"{""midland"": {""id"": ""B000018422"", ""original_key"": ""B000018422"", ""score"": 90.0, ""building_name"": ""1 Duddell Street"", ""address"": ""1 Duddell Street"", ""original_record"": {""Building Name"": ""1 Duddell Street"", ""Address"": ""1 Duddell Street"", ""Detail URL"": ""https://www.midlandici.com.hk/ics/property/building/details/B000018422/1-Duddell-Street""}}}",B000018422,,B000018422,
leasinghub,2566,2566,1 Lan Kwai Fong,1 lan kwai fong,1 Lan Kwai Fong,Central and Western District,B+,1993.0,LH_2566,{},,,,
leasinghub,17578,17578,1-1A Java Road,1 1a java road,1-1A Java Road,Eastern District,B,2022.0,LH_17578,{},,,,
leasinghub,13613,13613,10 Bonham Strand,10 bonham strand,10 Bonham Strand,Central and Western District,C,1975.0,LH_13613,{},,,,
leasinghub,6552,6552,10 Knutsford,10 knutsford,10 Knutsford Terrace,Yau Tsim Mong District,B,1999.0,LH_6552,{},,,,
leasinghub,2139,2139,10 Pottinger Street,10 pottinger street,10-12 Pottinger Street,Central and Western District,B,1999.0,LH_2139,"{""midland"": {""id"": ""B000018407"", ""original_key"": ""B000018407"", ""score"": 83.2, ""building_name"": ""10 Pottinger Street"", ""address"": ""10 Pottinger Street & 18 Li Yuen Street West"", ""original_record"": {""Building Name"": ""10 Pottinger Street"", ""Address"": ""10 Pottinger Street & 18 Li Yuen Street West"", ""Detail URL"": ""https://www.midlandici.com.hk/ics/property/building/details/B000018407/10-Pottinger-Street""}}}",B000018407,,B000018407,
leasinghub,3482,3482,10 Prat Avenue,10 prat avenue,10 Prat Avenue,Yau Tsim Mong District,B,2009.0,LH_3482,{},,,,
leasinghub,17381,17381,10 Wellington,10 wellington,10-12 Wellington Street,Central and Western District,B,2022.0,LH_17381,{},,,,
