building_key,leasinghub_id,leasinghub_original_key,leasinghub_name,midland_id,midland_original_key,midland_name,match_score
LH_1967,1967,1967,1 Duddell Street,B000018422,B000018422,1 Duddell Street,90.0
LH_2139,2139,2139,10 Pottinger Street,B000018407,B000018407,10 Pottinger Street,83.2
LH_190,190,190,100 Queen's Road Central,B000063697,B000063697,100 Queen's Road Central,90.0
LH_1242,1242,1242,128 Wellington Street,B000060541,B000060541,128 Wellington Street,90.0
LH_2772,2772,2772,148 Electric Road,B000041931,B000041931,148 Electric Road,90.0
LH_17653,17653,17653,181 Queen's Road Central,B000063699,B000063699,181 Queen's Road Central,87.2
LH_1609,1609,1609,208 Johnston Road,B000094314,B000094314,No. 208 Johnston Road,88.4
LH_17520,17520,17520,228 Electric Road,B000112287,B000112287,No. 228 Electric Road,88.4
LH_2963,2963,2963,26 Nathan Road,B000022389,B000022389,26 Nathan Road,90.0
LH_966,966,966,3 Lockhart Road,B000054199,B000054199,3 Lockhart Road,90.0
LH_1026,1026,1026,313 Lockhart Road,B000053973,B000053973,313 Lockhart Road,90.0
LH_84,84,84,33 Des Voeux Road Central,B000007683,B000007683,33 Des Voeux Road Central,78.8
LH_17495,17495,17495,333 Hennessy,B000095756,B000095756,333 Hennessy,86.6
LH_1793,1793,1793,383 King's Road,B000113140,B000113140,383-385 King's Road,90.0
LH_17298,17298,17298,39 King's Road,B000113453,B000113453,39 King's Road,90.0
LH_17973,17973,17973,39 Sha Tsui Road,B000119995,B000119995,39 Sha Tsui Road,90.0
LH_11521,11521,11521,41 Heung Yip Road,B000087080,B000087080,41 Heung Yip Road,90.0
LH_6174,6174,6174,6 Wilmer Street,B000008325,B000008325,6 Wilmer Street,90.0
LH_2848,2848,2848,726 Nathan Road,B000078384,B000078384,726 Nathan Road,90.0
LH_6636,6636,6636,8 Hart Avenue,B000022194,B000022194,8 Hart Avenue,90.0
LH_3728,3728,3728,8 Lyndhurst Terrace,B000006989,B000006989,8 Lyndhurst Terrace,90.0
LH_12274,12274,12274,8 Observatory Road,B000081559,B000081559,8 Observatory Road,90.0
LH_170,170,170,8 Queen's Road Central,B000006982,B000006982,No.8 Queen's Road Central,90.0
LH_1167,1167,1167,80 Gloucester Road,B000022197,B000022197,80 Gloucester Road,90.0
LH_2247,2247,2247,83 Wan Chai Road,B000050463,B000050463,83 Wan Chai Road,84.2
LH_17686,17686,17686,83 Wing Hong Street,B000120992,B000120992,83 Wing Hong Street,90.0
LH_1156,1156,1156,88 Gloucester Road,B000018630,B000018630,88 Gloucester Road,90.0
LH_1844,1844,1844,88 Hing Fat Street,B000059844,B000059844,88 Hing Fat Street,90.0
LH_1002,1002,1002,88 Lockhart Road,B000022198,B000022198,No.88 Lockhart Road,90.0
LH_846,846,846,9 Des Voeux Road West,B000020721,B000020721,9 Des Voeux Road West,88.6
LH_139,139,139,9 Queen's Road Central,B000019383,B000019383,9 Queen's Road Central,90.0
LH_5555,5555,5555,9 Wing Hong Street,B000007904,B000007904,No.9 Wing Hong Street,90.0
LH_6307,6307,6307,909 Cheung Sha Wan Road,B000024673,B000024673,909 Cheung Sha Wan Road,90.0
LH_1131,1131,1131,Admiralty Centre Tower 1,B000063488,B000063488,Admiralty Centre Tower Ii,87.6
LH_2773,2773,2773,AIA Tower,B000059840,B000059840,Aia Tower,88.4
LH_5599,5599,5599,Aitken Vanson Centre,B000018064,B000018064,Aitken Vanson Centre,90.0
LH_1157,1157,1157,Allied Kajima Building,B000018081,B000018081,Allied Kajima Building,76.0
LH_2251,2251,2251,Amber Commercial Building,B000018086,B000018086,Amber Commercial Building,87.6
LH_3804,3804,3804,Anton Building,B000018100,B000018100,Anton Building,88.0
LH_5601,5601,5601,Apec Plaza,B000007098,B000007098,Apec Plaza,90.0
LH_2988,2988,2988,Argyle Centre Phase 1,B000006978,B000006978,Argyle Centre Phase I,87.0
LH_4681,4681,4681,Astoria Building,B000018124,B000018124,Astoria Building,76.8
